Num Chunks,F-Score,HDs Total Length,Compute Time
1,0.9894736842105264,1149,27.453
2,0.8351648351648352,1146,17.234
3,0.6105263157894737,1143,15.453
4,0.40860215053763443,1140,15.797
5,0.2765957446808511,1135,14.484
6,0.25263157894736843,1134,11.407
7,0.2150537634408602,1127,10.937
8,0.23157894736842108,1128,11.625
9,0.16842105263157894,1125,11.203
10,0.14736842105263157,1120,10.985
11,0.12631578947368421,1111,10.875
12,0.16842105263157894,1116,11.437
13,0.12631578947368421,1105,11.547
14,0.10638297872340426,1106,12.125
15,0.15053763440860213,1095,11.938
16,0.14893617021276595,1104,12.171
17,0.16842105263157894,1088,11.984
18,0.14736842105263157,1098,11.157
19,0.14893617021276595,1083,11.906
